,depth,temp,salinity,EC,EC25,Density,sigmaT,Chl-Flu,Chl-a,dakudo,DO%,DOmg,V,No
206,0.0,5.612,0.074,0.101,175.676,1000.014,0.014,4.88,4.88,7.07,136.58,17.154,8.21,24.0
207,0.1,5.617,0.003,0.002,3.368,999.957,-0.044,4.74,4.74,7.09,136.26,17.101,8.14,24.0
208,0.2,5.617,0.0,-0.007,-11.869,999.955,-0.046,4.83,4.83,7.19,136.31,17.099,8.17,24.0
209,0.3,5.624,0.041,0.056,98.425,999.988,-0.013,4.81,4.81,7.47,136.94,17.172,8.14,24.0
210,0.4,5.671,0.074,0.101,175.86,1000.014,0.012,11.76,11.76,8.87,138.88,17.389,8.14,24.0
211,0.5,5.465,0.074,0.1,175.01,1000.019,0.017,14.91,14.91,8.98,138.8,17.48,8.14,24.0
212,0.6,5.204,0.073,0.098,174.273,1000.025,0.022,18.51,18.51,12.13,138.12,17.477,8.13,24.0
213,0.0,5.795,0.075,0.103,177.82,1000.01,0.01,4.78,4.78,7.32,138.26,17.252,8.21,25.0
214,0.1,5.749,0.075,0.101,175.823,1000.011,0.01,6.21,6.21,9.25,138.77,17.38,8.13,25.0
215,0.2,5.627,0.075,0.101,176.102,1000.014,0.013,7.79,7.79,9.01,138.38,17.358,8.13,25.0
216,0.3,5.518,0.074,0.101,176.139,1000.018,0.016,10.11,10.11,9.45,138.37,17.394,8.12,25.0
217,0.4,5.48,0.074,0.1,175.238,1000.019,0.017,13.79,13.79,8.83,137.84,17.347,8.14,25.0
218,0.5,5.531,0.074,0.101,176.139,1000.018,0.016,40.28,40.28,98.88,137.8,17.347,8.12,25.0
219,0.0,5.824,0.076,0.103,178.31,1000.009,0.009,5.3,5.3,8.15,127.01,15.855,8.21,26.0
220,0.1,5.86,0.076,0.104,178.988,1000.009,0.008,6.47,6.47,9.47,136.34,17.0,8.12,26.0
221,0.2,5.875,0.076,0.103,178.463,1000.009,0.008,36.09,36.09,169.38,136.89,17.076,8.12,26.0
222,0.0,5.391,0.076,0.102,179.254,1000.02,0.02,5.59,5.59,7.92,137.07,17.305,8.21,27.0
223,0.1,5.335,0.075,0.102,179.126,1000.022,0.021,7.23,7.23,12.5,136.82,17.295,8.14,27.0
224,0.2,5.235,0.076,0.102,179.842,1000.024,0.023,19.9,19.9,63.63,136.9,17.331,8.13,27.0
225,0.3,5.195,0.076,0.101,179.557,1000.025,0.024,30.46,30.46,131.22,136.64,17.321,8.14,27.0
226,0.4,5.229,0.075,0.101,178.922,1000.025,0.023,30.66,30.66,124.52,136.55,17.303,8.13,27.0
227,0.5,5.217,0.075,0.101,179.32,1000.026,0.024,36.06,36.06,156.77,136.75,17.331,8.12,27.0
228,0.0,5.196,0.074,0.099,175.988,1000.023,0.023,14.28,14.28,44.96,137.15,17.388,8.21,28.0
229,0.1,5.183,0.074,0.099,175.497,1000.023,0.023,17.27,17.27,50.44,137.15,17.405,8.13,28.0
